input,target
The new Constantine series will return him back to his roots in the DCU and hopefully be the start of another incredible run .,The new Constantine series will return him back to his roots in the DCU and hopefully be the start of another incredible run .
Hellblazer boosted the popularity and image of the occult detective fiction [WORD_GAP] and shaped it [WORD_GAP] its modern form .,Hellblazer boosted the popularity and image of the occult detective fiction genre and shaped it to its modern form .
[WORD_GAP] elements and style have been [WORD_GAP] countless of times [WORD_GAP] [WORD_GAP] works and many analogues of [WORD_GAP] cynical John [WORD_GAP] [WORD_GAP] appeared .,Its elements and style have been used countless of times in other works and many analogues of the cynical John Constantine have appeared .
"The dramatization consists of the John Constantine charact_r wandering through London and , in the film ending , experiencing a mystical epiphany of sorts .","The dramatization consists of the John Constantine character wandering through London and , in the film ending , experiencing a mystical epiphany of sorts ."
"DC Comics announced a sequel to the 2005 Constantine movie was in the works , with producer Lorenzo di Bonaventura linked to the proje_t .","DC Comics announced a sequel to the 2005 Constantine movie was in the works , with producer Lorenzo di Bonaventura linked to the project ."
"He stated [WORD_GAP] "" I [WORD_GAP] love to do [WORD_GAP] ...","He stated : "" I 'd love to do it ..."
We 're going to scale back the [WORD_GAP] of the movie to try and per_uade the studio to go ahead and make a tough version of it .,We 're going to scale back the size of the movie to try and persuade the studio to go ahead and make a tough version of it .
In January 20_4 it was announced that David Goyer and Daniel Cerone were developing a TV series based on Hellblazer and that NBC had ordered a pilot for it .,In January 2014 it was announced that David Goyer and Daniel Cerone were developing a TV series based on Hellblazer and that NBC had ordered a pilot for it .
A few weeks later it was announced that Neil Marshall [LINE_GAP] the pilot .,A few weeks later it was announced that Neil Marshall would be directing the pilot .
"The [WORD_GAP] [WORD_GAP] follow Constantine [WORD_GAP] his early years , defending humanity against dark forces from [WORD_GAP] .","The series will follow Constantine in his early years , defending humanity against dark forces from beyond ."
"On May 8 , NBC announced it had officially picked [LINE_GAP] the Fall 2014 season .","On May 8 , NBC announced it had officially picked up Constantine for the Fall 2014 season ."
"The show ran for 13 episodes , [LINE_GAP] May 8 , 2015 , NBC cancelled Constantine after the end of its first season .","The show ran for 13 episodes , and on May 8 , 2015 , NBC cancelled Constantine after the end of its first season ."
It was later [WORD_GAP] that the character of Constantine as portrayed by R_an [WORD_GAP] [WORD_GAP] reappearing in the fou_th season of the CW 's Arrow .,It was later announced that the character of Constantine as portrayed by Ryan would be reappearing in the fourth season of the CW 's Arrow .
"The song Stranger in the Mirror by Ookla the Mok is written [LINE_GAP] 's point of view , including a lyrical reference to ' the Newcastle incident ' .","The song Stranger in the Mirror by Ookla the Mok is written from Constantine 's point of view , including a lyrical reference to ' the Newcastle incident ' ."
"Fantasy fiction [WORD_GAP] John Shirley [WORD_GAP] credited in making three Hellblazer [WORD_GAP] , including the [WORD_GAP] [WORD_GAP] the Constantine film .","Fantasy fiction author John Shirley is credited in making three Hellblazer novels , including the novelisation of the Constantine film ."
Curtis Woodhouse ( born 17 April 1980 ) is an English former professional footballer turned professional [LINE_GAP] football manager .,Curtis Woodhouse ( born 17 April 1980 ) is an English former professional footballer turned professional boxer and football manager .
He started his [LINE_GAP] York City 's centre of excellence before joining Sheffield United .,He started his footballing career with York City 's centre of excellence before joining Sheffield United .
He [LINE_GAP] on a free transfer in October 2003 .,He then joined Peterborough United on a free transfer in October 2003 .
He retired [WORD_GAP] the end of the 2006 – 07 season .,He retired at the end of the 2006 – 07 season .
"[WORD_GAP] stated that he had "" [WORD_GAP] out of love "" with foot_all and decided to turn to pr_fessional boxing , despite no previous experience .","Woodhouse stated that he had "" fallen out of love "" with football and decided to turn to professional boxing , despite no previous experience ."
"In September 2006 , he won his first professional boxing match , defeating Dean Marcantonio , on points [LINE_GAP] twice in the final round .","In September 2006 , he won his first professional boxing match , defeating Dean Marcantonio , on points , knocking him down twice in the final round ."
"His only defeat was by Jay Morris in Apr_l 2009 , losing 37 – 36 on points .","His only defeat was by Jay Morris in April 2009 , losing 37 – 36 on points ."
"He was convi_ted of assaulting a police [WORD_GAP] and of using threatening , abusive or insulting words or behaviour in April 2006 .","He was convicted of assaulting a police officer and of using threatening , abusive or insulting words or behaviour in April 2006 ."
"After leaving them , [WORD_GAP] moved [WORD_GAP] Harrogate Town .","After leaving them , he moved to Harrogate Town ."
"At the end of February 2010 , he [WORD_GAP] Sheffield in the [WORD_GAP] Premier League .","At the end of February 2010 , he joined Sheffield in the Northern Premier League ."
"Before the start of the 2011 – 12 foo_ball se_son , he moved up two divisions in the football lea_ue system when he joined Conference No_th outfit Eas_wood Town .","Before the start of the 2011 – 12 football season , he moved up two divisions in the football league system when he joined Conference North outfit Eastwood Town ."
He made [WORD_GAP] total [WORD_GAP] nine First Division appearances [WORD_GAP] the 1997 – 98 season .,He made a total of nine First Division appearances in the 1997 – 98 season .
"Woodhouse holds the record for being the club 's youngest ever captain , aged 19 [WORD_GAP]","Woodhouse holds the record for being the club 's youngest ever captain , aged 19 ."
"He made a total of 104 appearances in the Football League , scoring six goals , before being sold to Birmingham City for £ 1 million in February 2001 .","He made a total of 104 appearances in the Football League , scoring six goals , before being sold to Birmingham City for £ 1 million in February 2001 ."
He made his debut for Birmingham City on 3 [LINE_GAP] a 2 – 1 home victory against Norwich City .,"He made his debut for Birmingham City on 3 February 2001 , in a 2 – 1 home victory against Norwich City ."
"He [WORD_GAP] 17 appearances for Birmi_gham during the 2000 – 01 [WORD_GAP] , sc_ring twice .","He made 17 appearances for Birmingham during the 2000 – 01 season , scoring twice ."
"Both goals came in the final league match [LINE_GAP] season , a 2 – 1 away win against Huddersfield Town , sealing their relegation fate .","Both goals came in the final league match of the season , a 2 – 1 away win against Huddersfield Town , sealing their relegation fate ."
"In July 2002 , he was sentenced to 120 hours [LINE_GAP] service and ordered to pay £ 250 costs .","In July 2002 , he was sentenced to 120 hours of community service and ordered to pay £ 250 costs ."
"The following season , 2001 – 02 , he [LINE_GAP] the First Division .","The following season , 2001 – 02 , he made 28 appearances in the First Division ."
"He made just three appearances for Birmingham Ci_y in the Pre_ier League , before being loaned out to Rotherham United in January 2003 .","He made just three appearances for Birmingham City in the Premier League , before being loaned out to Rotherham United in January 2003 ."
"During his loan spell at Rotherham , he turned [WORD_GAP] [WORD_GAP] times in the First Division .","During his loan spell at Rotherham , he turned out 11 times in the First Division ."
"Howe_er , he had be_n training with Peterborough a month prior to signing for them , whilst he [WORD_GAP] sorted out some problems at Birmingham City "" .","However , he had been training with Peterborough a month prior to signing for them , whilst he "" sorted out some problems at Birmingham City "" ."
"He went [WORD_GAP] [WORD_GAP] captain the [WORD_GAP] , and was later described as "" Captain Marvel "" by manager , Barry Fry .","He went on to captain the side , and was later described as "" Captain Marvel "" by manager , Barry Fry ."
"In 2003 – 04 , he made [WORD_GAP] appearances [WORD_GAP] the Second Division , [WORD_GAP] seven goals [WORD_GAP]","In 2003 – 04 , he made 27 appearances in the Second Division , scoring seven goals ."
"Peterborough finished 18th in the Second Division , two points from relegation , with Woodhouse being [LINE_GAP] player of the season .","Peterborough finished 18th in the Second Division , two points from relegation , with Woodhouse being named as Peterborough 's player of the season ."
"The following season , 2004 – 05 , he ma_e 34 appearances in the newly named League One and scored fo_r goals .","The following season , 2004 – 05 , he made 34 appearances in the newly named League One and scored four goals ."
"Peterborough suf_ered relegation , after finishing 23rd in the league .","Peterborough suffered relegation , after finishing 23rd in the league ."
I [WORD_GAP] [WORD_GAP] happy here .,I 'm very happy here .
"It 's ta_en me long enough to get to Hull [WORD_GAP] I 'm not [WORD_GAP] [WORD_GAP] walk out after [WORD_GAP] few mon_hs , or whatever .","It 's taken me long enough to get to Hull so I 'm not going to walk out after a few months , or whatever ."
Grimsby were defeated 1 – 0 in [WORD_GAP] final [WORD_GAP] Cheltenham Town [WORD_GAP],Grimsby were defeated 1 – 0 in the final by Cheltenham Town .
Woodhouse gave away a penalty in the 70_h minu_e th_t was saved by goalkeeper Ste_e Mildenhall .,Woodhouse gave away a penalty in the 70th minute that was saved by goalkeeper Steve Mildenhall .
"[WORD_GAP] had [WORD_GAP] history of theft , robbery and affray [WORD_GAP] and said [WORD_GAP] he had "" [WORD_GAP] out of love "" with football [WORD_GAP]","Woodhouse had a history of theft , robbery and affray , and said that he had "" fallen out of love "" with football ."
He admitted to have b_en involved in around 100 street fights .,He admitted to have been involved in around 100 street fights .
"He [WORD_GAP] ; "" Boxing has [WORD_GAP] been my first love , even as a [WORD_GAP] [WORD_GAP] , and "" I love [WORD_GAP] ...","He said ; "" Boxing has always been my first love , even as a kid "" , and "" I love fighting ..."
"Rather [WORD_GAP] get [WORD_GAP] up for it , [WORD_GAP] might as [WORD_GAP] get paid for [WORD_GAP] .","Rather than get locked up for it , I might as well get paid for it ."
I ’ d be standing there [LINE_GAP] big black eye and a fat lip and deny it .,I ’ d be standing there with a big black eye and a fat lip and deny it .
The former footballer [WORD_GAP] [WORD_GAP] two stone in weight since his [WORD_GAP] days [WORD_GAP] [WORD_GAP] Town [WORD_GAP],The former footballer had lost two stone in weight since his playing days with Grimsby Town .
"[WORD_GAP] fight was scheduled for [WORD_GAP] rounds of two minutes , [WORD_GAP] knocked [WORD_GAP] opponent down [WORD_GAP] in the final [WORD_GAP] and won [WORD_GAP] points [WORD_GAP]","The fight was scheduled for four rounds of two minutes , Woodhouse knocked his opponent down twice in the final round and won on points ."
[WORD_GAP] was [WORD_GAP] to pay [WORD_GAP] 100 compensation [WORD_GAP] PC Andrew Whitehead and [WORD_GAP] 350 in costs .,He was ordered to pay £ 100 compensation to PC Andrew Whitehead and £ 350 in costs .
He made his debut against Aldershot Town on 25 November 2006 [LINE_GAP] a 1 – 0 defeat .,"He made his debut against Aldershot Town on 25 November 2006 , in a 1 – 0 defeat ."
"He made [WORD_GAP] appearances [WORD_GAP] the Conference National [WORD_GAP] Rushden , [WORD_GAP] deciding [WORD_GAP] leave [WORD_GAP] [WORD_GAP] on [WORD_GAP] boxing career .","He made five appearances in the Conference National for Rushden , before deciding to leave to concentrate on his boxing career ."
"After five months [WORD_GAP] [WORD_GAP] [WORD_GAP] , Woodhouse returned to the [WORD_GAP] [WORD_GAP] his second fight on 15 April , [WORD_GAP] [WORD_GAP] Cottier on points [WORD_GAP] four rounds [WORD_GAP]","After five months away from boxing , Woodhouse returned to the ring for his second fight on 15 April , defeating Duncan Cottier on points after four rounds ."
Matt Seawright was Woodhouse 's next boxing opponent on 16 March [LINE_GAP] he defeated him after Seawright felt he was unable to continue after the third round .,"Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright felt he was unable to continue after the third round ."
"Woodhouse fi_ished the 2007 – 08 football season having played [WORD_GAP] 29 Conference National matches , scoring once and receiving two red cards .","Woodhouse finished the 2007 – 08 football season having played in 29 Conference National matches , scoring once and receiving two red cards ."
"Murray managed to beat the standing eight count , but the referee d_emed him unable to continue after 1 minute and 23 seconds [WORD_GAP]","Murray managed to beat the standing eight count , but the referee deemed him unable to continue after 1 minute and 23 seconds ."
He [LINE_GAP] team captain for his final season at the club .,He was later appointed as team captain for his final season at the club .
"Woodhouse scored [WORD_GAP] decisive penalty [WORD_GAP] Rushden 's opening game [WORD_GAP] [WORD_GAP] 2008 – 09 season [WORD_GAP] away on 9 August , [WORD_GAP] newly [WORD_GAP] [WORD_GAP] Borough .","Woodhouse scored a decisive penalty in Rushden 's opening game of the 2008 – 09 season , away on 9 August , against newly promoted Eastbourne Borough ."
"He was se_t off again in the home game against Histon on 25 August , after receiving two yellow c_rds .","He was sent off again in the home game against Histon on 25 August , after receiving two yellow cards ."
"In [WORD__AP] [WORD_GAP] boxing match , Woodhouse defeated Jimmy Beech on points on 20 September .","In his eighth boxing match , Woodhouse defeated Jimmy Beech on points on 20 September ."
"He then proceeded to defeat Peter Dunn on 30 November , stopping him 23 seconds in the sixth and final round at Thur_roft [WORD_GAP] Consort Hotel , [WORD_GAP] .","He then proceeded to defeat Peter Dunn on 30 November , stopping him 23 seconds in the sixth and final round at Thurcroft 's Consort Hotel , Rotherham ."
He signed for [WORD_GAP] Town on 5 January [WORD_GAP] a [WORD_GAP] [WORD_GAP] the [WORD_GAP] of the 2008 – 09 [WORD_GAP] .,He signed for Mansfield Town on 5 January on a contract until the end of the 2008 – 09 season .
Woodhouse made his debut for Mansfie_d Town on 24 January in a Conference National match against L_wes .,Woodhouse made his debut for Mansfield Town on 24 January in a Conference National match against Lewes .
[WORD_GAP] [WORD_GAP] 1 – 0 .,Mansfield won 1 – 0 .
Matt Scriven was Woodhouse 's next opponent in [LINE_GAP] on 29 March at Bramall Lane .,Matt Scriven was Woodhouse 's next opponent in the ring on 29 March at Bramall Lane .
[WORD_GAP] fight went the [WORD_GAP] of six [WORD_GAP] and Woodhouse was given the decision [WORD_GAP] Scriven [WORD_GAP],The fight went the distance of six rounds and Woodhouse was given the decision over Scriven .
"[LINE_GAP] professional loss as a boxer was on 25 April at Ulster Hall , in Belfast at the hands of Jay Morris .","His first professional loss as a boxer was on 25 April at Ulster Hall , in Belfast at the hands of Jay Morris ."
"The fight went the distance , but Woodhouse lost 37 – 36 on poi_ts over six rounds .","The fight went the distance , but Woodhouse lost 37 – 36 on points over six rounds ."
"[WORD_GAP] manager David Holdsworth hoped Woodhouse would stay at [WORD_GAP] club , [_ORD_GAP] [WORD_GAP] 18 June , he joined Conference [WORD_GAP] team [WORD_GAP] Town .","Mansfield manager David Holdsworth hoped Woodhouse would stay at the club , but on 18 June , he joined Conference North team Harrogate Town ."
"On 27 November , [WORD__AP] defeated Dean Hickman by TKO in round 6 .","On 27 November , he defeated Dean Hickman by TKO in round 6 ."
"He commented [LINE_GAP] are looking for a central midfielder , though , they are welcome to give me a call "" .","He commented "" If they are looking for a central midfielder , though , they are welcome to give me a call "" ."
Harrogate released [WORD_GAP] by mutual consent on 25 February [WORD_GAP],Harrogate released him by mutual consent on 25 February .
Three days later he avenged [WORD_GAP] [WORD_GAP] [WORD_GAP] Jay Morris by beating him with a TKO [WORD_GAP] [WORD_GAP] 3 [WORD_GAP],Three days later he avenged his defeat by Jay Morris by beating him with a TKO in round 3 .
"On 25 April , Woodhouse defended [WORD_GAP] title with [WORD_GAP] 4th round knockout of Maurycy Gojko , [WORD_GAP] [WORD_GAP] in as a late [WORD_GAP] [WORD_GAP] Steve Saville .","On 25 April , Woodhouse defended the title with a 4th round knockout of Maurycy Gojko , who stepped in as a late replacement for Steve Saville ."
"Next , on 2 [LINE_GAP] knocked out veteran Stefy Bull in round 9 .","Next , on 2 July , Woodhouse knocked out veteran Stefy Bull in round 9 ."
"It [LINE_GAP] May 2012 , that Woodhouse was the new manager of Northern Premier League Division One South club Sheffield .","It was announced on 2 May 2012 , that Woodhouse was the new manager of Northern Premier League Division One South club Sheffield ."
Woodhouse resigned in December 2012 [WORD_GAP] [WORD_GAP] having difficulty to managing a football team as well as being [WORD_GAP] professional boxer .,Woodhouse resigned in December 2012 after admitting having difficulty to managing a football team as well as being a professional boxer .
In January [WORD_GAP] Woodhouse replaced Holdsworth [WORD_GAP] manager following Holdsworth 's [WORD_GAP] .,In January 2014 Woodhouse replaced Holdsworth as manager following Holdsworth 's resignation .
"Woodhouse then left Goole after some issues with the board , and took over at H_ll United in January 20_5 .","Woodhouse then left Goole after some issues with the board , and took over at Hull United in January 2015 ."
Woodhouse was born [LINE_GAP] raised in Driffield .,Woodhouse was born in Beverley and raised in Driffield .
"His father , Bernard Woodhouse , died at the age of 51 after he had a fatal stroke .","His father , Bernard Woodhouse , died at the age of 51 after he had a fatal stroke ."
"Unlike [WORD_GAP] boys who idolised footballers , Woodhouse stated his heroes [WORD_GAP] Nigel Be_n and Mike Tyson .","Unlike other boys who idolised footballers , Woodhouse stated his heroes were Nigel Benn and Mike Tyson ."
"I was called a few names [LINE_GAP] of my skin , but with a quick smack in the mouth they soon backed off .","I was called a few names due to the colour of my skin , but with a quick smack in the mouth they soon backed off ."
[WORD_GAP] He used to visit Boothferry Park to support Hull City before pursuing his care_r in [WORD_GAP] football .,""" He used to visit Boothferry Park to support Hull City before pursuing his career in professional football ."
"[WORD_GAP] has a wife , Charlotte , and two [WORD_GAP] : a [WORD_GAP] named Kyle and a daughter , Isla .","He has a wife , Charlotte , and two children : a son named Kyle and a daughter , Isla ."
[WORD_GAP] of 29 January 2011 .,As of 29 January 2011 .
"The earthquake occurred at 16 : 53 local time ( 21 : 53 UTC ) on Tuesday , 12 Jan_ary [WORD_GAP] .","The earthquake occurred at 16 : 53 local time ( 21 : 53 UTC ) on Tuesday , 12 January 2010 ."
An [WORD_GAP] three million people w_re affected by the quake .,An estimated three million people were affected by the quake .
"Many countries responded to appeals [WORD_GAP] humanitarian aid , pledging funds [WORD_GAP] dispatching re_cue and medical teams , engineers and support personnel .","Many countries responded to appeals for humanitarian aid , pledging funds and dispatching rescue and medical teams , engineers and support personnel ."
These [WORD_GAP] to be buried [WORD_GAP] mass [WORD_GAP] .,These had to be buried in mass graves .
"As rescues tailed [WORD_GAP] [WORD_GAP] supplies , medical care and [WORD_GAP] [WORD_GAP] priorities .","As rescues tailed off , supplies , medical care and sanitation became priorities ."
"Delays [WORD_GAP] [WORD_GAP] distribution [WORD_GAP] to angry [WORD_GAP] [WORD_GAP] aid workers and survivors , and looting [WORD_GAP] sporadic [WORD_GAP] were observed .","Delays in aid distribution led to angry appeals from aid workers and survivors , and looting and sporadic violence were observed ."
"The island of Hispaniola , shared by Haiti and the Domini_an Repub_ic , is seismica_ly active and has a history of destru_tive earthqu_kes .","The island of Hispaniola , shared by Haiti and the Dominican Republic , is seismically active and has a history of destructive earthquakes ."
"Haiti is the poorest country in the Western Hemisphere , and is ranked [LINE_GAP] 182 countries on the Human Development Index .","Haiti is the poorest country in the Western Hemisphere , and is ranked 149th of 182 countries on the Human Development Index ."
Haiti is no stranger to natural disasters [WORD_GAP],Haiti is no stranger to natural disasters .
"In addition to earthquakes , it has been struck frequently by tropic_l cyclones , which have caused flooding and widespread damage .","In addition to earthquakes , it has been struck frequently by tropical cyclones , which have caused flooding and widespread damage ."
Shaking damage was [WORD_GAP] se_ere than for other quakes of similar magnitude [WORD_GAP] to the shallow depth of the quake [WORD_GAP],Shaking damage was more severe than for other quakes of similar magnitude due to the shallow depth of the quake .
Preliminary analysis of the slip distribution [WORD_GAP] amplitudes of [WORD_GAP] to [WORD_GAP] 4 m ( 13 ft ) using ground mo_ion records from all over the world .,Preliminary analysis of the slip distribution found amplitudes of up to about 4 m ( 13 ft ) using ground motion records from all over the world .
A 2007 earthquake [WORD_GAP] study by C.,A 2007 earthquake hazard study by C.
A UN representative rep_rted that the aftershock collapsed seven buildings in the town .,A UN representative reported that the aftershock collapsed seven buildings in the town .
F_rther casualties are thought [WORD_GAP] have been minimal since [WORD_GAP] had been sleeping in the open [WORD_GAP],Further casualties are thought to have been minimal since people had been sleeping in the open .
"The Pacific Tsunami Wa_ning Center issued a tsunami warning immediately after the initial quake , but qui_kly cancelled it .","The Pacific Tsunami Warning Center issued a tsunami warning immediately after the initial quake , but quickly cancelled it ."
At least three people were swept out to [WORD_GAP] by the wave and were reported dead .,At least three people were swept out to sea by the wave and were reported dead .
"Witnesses told reporters that [LINE_GAP] and a "" very big wave "" followed rapidly , crashing ashore and sweeping boats and debris into the ocean .","Witnesses told reporters that the sea first retreated and a "" very big wave "" followed rapidly , crashing ashore and sweeping boats and debris into the ocean ."
"T_is includ_d all hospitals in the capital ; air , sea , and land transport facilities ; and communication systems .","This included all hospitals in the capital ; air , sea , and land transport facilities ; and communication systems ."
The [WORD_GAP] seriously [WORD_GAP] the control tower at Toussaint L 'Ouverture International Airport .,The quake seriously damaged the control tower at Toussaint L 'Ouverture International Airport .
[WORD_GAP] seaport in northern Haiti remain_d operational .,Gonaïves seaport in northern Haiti remained operational .
Roads were blocked with road debris [LINE_GAP] surfaces broken .,Roads were blocked with road debris or the surfaces broken .
They [LINE_GAP] .,They promise rapid response .
"To be honest , I don 't [LINE_GAP] hasn 't been done .","To be honest , I don 't know why it hasn 't been done ."
[LINE_GAP] think that their priority must be somewhere else .,I can only think that their priority must be somewhere else .
[WORD_G_P] was considerable damage to communications infrastructure .,There was considerable damage to communications infrastructure .
The deputy mayor [WORD_GAP] Léogâne [WORD_GAP] that 90 [WORD_GAP] of the town 's [WORD_GAP] had been destroyed .,The deputy mayor of Léogâne reported that 90 percent of the town 's buildings had been destroyed .
The National Palace [LINE_GAP] though President René Préval and his wife Elisabeth Delatour Préval escaped injury .,"The National Palace was severely damaged , though President René Préval and his wife Elisabeth Delatour Préval escaped injury ."
The earthquake also destroyed a nursing school in the capital and severely damaged the [WORD_GAP] [WORD_GAP] primary midwifery school .,The earthquake also destroyed a nursing school in the capital and severely damaged the country 's primary midwifery school .
The headquarters of the United Nati_ns Stabilization Mission in Haiti ( MINUSTAH ) at Christopher Hotel and offices of the World B_nk were destroyed .,The headquarters of the United Nations Stabilization Mission in Haiti ( MINUSTAH ) at Christopher Hotel and offices of the World Bank were destroyed .
The quake created a landslide dam on the Rivière de Grand Goâve .,The quake created a landslide dam on the Rivière de Grand Goâve .
Construction standards are [WORD_GAP] in Haiti ; the country has no building codes .,Construction standards are low in Haiti ; the country has no building codes .
Engineers have stated that it is unlikely many buildings would have stood through any kind of [W_RD_GAP] .,Engineers have stated that it is unlikely many buildings would have stood through any kind of disaster .
Structures are often raised wherever they can fit ; some buildings were bui_t on slopes [WORD_GAP] insufficient foundations or steel supports .,Structures are often raised wherever they can fit ; some buildings were built on slopes with insufficient foundations or steel supports .
A representative of Catholic Relief Services has estimated t_at about two million Haitia_s lived as squatters on land they did not own .,A representative of Catholic Relief Services has estimated that about two million Haitians lived as squatters on land they did not own .
The coun_ry also suffered fr_m shortages [WORD_GAP] fuel and potable water even before the disaster .,The country also suffered from shortages of fuel and potable water even before the disaster .
By [WORD_GAP] [WORD_GAP] [WORD_GAP] a [WORD_GAP] bodies [WORD_GAP] been placed on the streets and pavements [WORD_GAP],"By 14 January , a thousand bodies had been placed on the streets and pavements ."
"Government crews manned [LINE_GAP] collect thousands more , burying them in mass graves .","Government crews manned trucks to collect thousands more , burying them in mass graves ."
"In [WORD_GAP] he_t and humidity , c_rpses buried in rubble began to decompose and smell .","In the heat and humidity , corpses buried in rubble began to decompose and smell ."
"Mati Goldstein , head of the Israeli [LINE_GAP] Rescue Unit delegation to Haiti , described the situation as "" Shabbat from hell .","Mati Goldstein , head of the Israeli ZAKA International Rescue Unit delegation to Haiti , described the situation as "" Shabbat from hell ."
"Everywhere , the acrid smell [LINE_GAP] in the air .","Everywhere , the acrid smell of bodies hangs in the air ."
It 's just like the stories [WORD_GAP] are to_d of the Holocaust – thousands of bodies everywhere .,It 's just like the stories we are told of the Holocaust – thousands of bodies everywhere .
[WORD_GAP] [WORD_GAP] beyond comprehension .,It is beyond comprehension .
"Max Beauvoir , a Vo_ou p_iest , protested the lack of dignity in mass burials , s_ating , "" ...","Max Beauvoir , a Vodou priest , protested the lack of dignity in mass burials , stating , "" ..."
"it is not in our culture to bury people in such a fashion , it is desecration "" .","it is not in our culture to bury people in such a fashion , it is desecration "" ."
Some began reporting having expend_d stocks of critical medical supplies su_h as antibioti_s by 17 January .,Some began reporting having expended stocks of critical medical supplies such as antibiotics by 17 January .
"A local governor [WORD_GAP] , "" We have a great d_sire and we will do everything humanly possible to help Hai_ian families .","A local governor stated , "" We have a great desire and we will do everything humanly possible to help Haitian families ."
But we have our limitations with respect to food and medici_e .,But we have our limitations with respect to food and medicine .
We need the helping hand of [LINE_GAP] area .,We need the helping hand of other countries in the area .
"Slow distribution of resources in the days after the earthqu_ke r_sulted in sporadic violence , with looting reported .","Slow distribution of resources in the days after the earthquake resulted in sporadic violence , with looting reported ."
There were also accounts of looters wounded or killed by vigilantes and [LINE_GAP] had constructed their own roadblock barricades .,There were also accounts of looters wounded or killed by vigilantes and neighbourhoods that had constructed their own roadblock barricades .
"During the days following the earthquake , hundreds were seen marching through the streets in peaceful [LINE_GAP] and clapping .","During the days following the earthquake , hundreds were seen marching through the streets in peaceful processions , singing and clapping ."
The [WORD_GAP] caused an urgent need for outside [WORD_GAP] to communicate with Haitians whose main or only language is [WORD_GAP] [WORD_GAP] [WORD_GAP],The earthquake caused an urgent need for outside rescuers to communicate with Haitians whose main or only language is Haitian Creole .
"As a result , a mobile translation pr_gram to tran_late between English and Haitian Creole had to be written quickly .","As a result , a mobile translation program to translate between English and Haitian Creole had to be written quickly ."
The earthquake struck [WO_D_GAP] the most populated area of the country .,The earthquake struck in the most populated area of the country .
The Inter_ational Federation of Red Cross and Red Crescent Societies estimated that as many as 3 million people had been affected by the quake .,The International Federation of Red Cross and Red Crescent Societies estimated that as many as 3 million people had been affected by the quake .
A US State Department spokesperson said the report had inconsistencies and [LINE_GAP] released until they were resolved .,A US State Department spokesperson said the report had inconsistencies and would not be released until they were resolved .
"Appeals for humanitarian aid we_e issued by many aid organizations , the United [WORD_GAP] and president Re_é Préval [WORD_GAP]","Appeals for humanitarian aid were issued by many aid organizations , the United Nations and president René Préval ."
Images and testimonials circula_ing after the earthquake acro_s the internet and through [WORD_GAP] media helped to intensify the reaction of global engagement .,Images and testimonials circulating after the earthquake across the internet and through social media helped to intensify the reaction of global engagement .
"The Dominican website FlyDominicanRepublic.com made available to [LINE_GAP] , daily updates on airport information and news from the operations center on the Dominican side .","The Dominican website FlyDominicanRepublic.com made available to the internet , daily updates on airport information and news from the operations center on the Dominican side ."
[WORD_GAP] Dominican Red Cross coordinated early medical relief in conjunction [WORD_GAP] the International Red Cr_ss .,The Dominican Red Cross coordinated early medical relief in conjunction with the International Red Cross .
"The government sent eight mobile medical units [WORD_GAP] [WORD_GAP] 36 doctors [WORD_GAP] orthopaedic specialists , traumatologists , [WORD_GAP] [WORD_GAP] and surgeons .","The government sent eight mobile medical units along with 36 doctors including orthopaedic specialists , traumatologists , anaesthetists , and surgeons ."
"Other nations from farther afield [WORD_GAP] se_t personnel [WORD_GAP] medicines , materiel , and other aid to [WORD_GAP] [WORD_GAP]","Other nations from farther afield also sent personnel , medicines , materiel , and other aid to Haiti ."
It [WORD_GAP] set up in eight ho_rs and [WORD_GAP] operations on [WORD_GAP] evening of 16 January [WORD_GAP],It was set up in eight hours and began operations on the evening of 16 January .
[_ORD_GAP] American Red Cross announced on 13 January that it had run out of supplies in Hai_i and appealed for public donations .,The American Red Cross announced on 13 January that it had run out of supplies in Haiti and appealed for public donations .
Most [WORD_GAP] [WORD_GAP] workers were initially involved in the search for [WORD_GAP] at the organization 's collapsed headquarters .,Most of these workers were initially involved in the search for survivors at the organization 's collapsed headquarters .
"The International Charter on Space and Major Disasters was [WORD_GAP] , [WORD_GAP] satellite [WORD_GAP] [WORD_GAP] affected regions to be shared with rescue and aid organizations .","The International Charter on Space and Major Disasters was activated , allowing satellite imagery of affected regions to be shared with rescue and aid organizations ."
Members of social networking sites such as [LINE_GAP] messages and pleas to send help .,Members of social networking sites such as Twitter and Facebook spread messages and pleas to send help .
Facebook was ov_rwhelmed by — and blocked — some users who [WORD_GAP] sending messages [WORD_GAP] updates [WORD_GAP],Facebook was overwhelmed by — and blocked — some users who were sending messages about updates .
"Some onl_ne poker sites hosted poker tournaments with tourname_t fees , prizes or both going to disaster relief charities .","Some online poker sites hosted poker tournaments with tournament fees , prizes or both going to disaster relief charities ."
Several orphanages [LINE_GAP] the earthquake .,Several orphanages were destroyed in the earthquake .
"Rescue w_rk intensified only slightly with the [WORD_GAP] of doctors , police officers , military per_onnel and firefighters from vari_us countries two days [WORD_GAP] the earthquake .","Rescue work intensified only slightly with the arrival of doctors , police officers , military personnel and firefighters from various countries two days after the earthquake ."
